epoch,market_cap
1710432184501,1400823269168.214
1710435777590,1401794777462.8809
1710439369932,1390883009955.0288
1710443258721,1370633294965.8323
1710446534004,1361528130851.6418
1710450172411,1389818209926.633
1710453659520,1391879832711.7493
1710457639407,1405117157638.323
1710460964785,1403843488135.24
1710464565014,1412516220277.069
1710468214861,1406795012889.3967
1710471735449,1356980768899.4456
1710475598608,1339461917069.3135
1710479059789,1324582808001.7388
1710482704797,1319745801929.9612
1710486269619,1347536710723.2358
1710490073799,1345621165933.789
1710493329817,1321425712313.3887
1710497220663,1330277455604.178
1710500561535,1330166080812.9705
1710504147011,1328517197801.0967
1710507882394,1334618747379.2976
1710511516515,1344545997811.8372
1710515327027,1348222315936.9683
1710518736180,1340160930257.9094
1710522571355,1335499490626.133
1710525629934,1339777463130.7668
1710529679829,1382701822352.9712
1710533099836,1345699528711.067
1710536639369,1333814442118.55
1710540411742,1342289320481.2988
1710544106051,1361079087988.037
1710547343350,1367669237527.8738
1710551211698,1366680774891.412
1710554855140,1360149889013.9236
1710558464163,1357673533986.907
1710562031215,1360978963675.7195
1710565517154,1355777907117.7004
1710568818851,1355591880534.5012
1710572586011,1360065853199.605
1710576389259,1363769090963.356
1710579731905,1358604478386.7012
1710583396171,1355698641376.293
1710586869493,1344542585577.0168
1710590630735,1344961237184.3062
1710594021449,1337703885301.919
1710597620290,1337151342501.938
1710601230751,1335713925974.2034
1710605291564,1344409235334.7102
1710608531320,1339425177877.511
1710612248968,1327653266716.854
1710615630768,1312486863406.4922
1710619716796,1314657956550.4382
1710623277969,1320578993247.3555
1710626906256,1301947336914.3635
1710630194011,1303310534300.8428
1710634100519,1282404282863.459
1710637497598,1293079230858.5264
1710640877778,1299159480718.2415
1710644860428,1303903889510.2288
1710648053619,1305597335048.9253
1710651654399,1303002420622.7754
1710655395039,1299170460787.484
1710659094636,1277650828348.7668
1710662841321,1289831870884.1077
1710666393727,1307634038884.2478
1710669728325,1305133086580.134
1710673692887,1318086954831.176
1710677141556,1314318913767.1763
1710680692249,1305803156524.9763
1710684206773,1316926570978.605
1710687873513,1327372284379.5752
1710691314240,1335214388879.3557
1710694931988,1334977200621.9446
1710698898230,1342486198262.2512
1710702244239,1339722897222.7734
1710705965621,1347177026679.745
1710709467423,1340774655559.5977
1710713317124,1338809663440.3286
1710716854367,1340407619057.8376
1710720512832,1344994502677.7131
1710724081020,1322813779661.2212
1710727456641,1329132827047.7468
1710731085341,1331213904980.5977
1710734746687,1334777614631.44
1710738275243,1343471305907.4553
1710741876853,1348733365324.8396
1710745371976,1348192360796.6855
1710748858454,1341209445082.6912
1710752698985,1337748353977.68
1710756080444,1336280689801.5996
1710759946403,1337177616732.1067
1710763661615,1341402816963.5435
1710767133437,1346814418572.8843
1710770648098,1324777770016.1562
1710774047501,1316948062283.6135
1710777951877,1325169126468.9822
1710781634488,1317031088502.3784
1710785020118,1320696961054.434
1710788769252,1317509900097.263
1710792388682,1316953585833.776
1710795862873,1323672837635.1877
1710799575321,1329046340592.2524
1710803338607,1329776016340.4924
1710806453816,1331771923948.0378
1710810185863,1318104310370.888
1710813864851,1295585580888.2058
1710817281313,1292555361432.0764
1710821220724,1294799462185.6057
1710824667960,1284312256859.3464
1710828037379,1271173339488.1025
1710831789698,1271027575908.7302
1710835445115,1271221400076.6428
1710839066951,1243674789921.9368
1710842923767,1260305386006.4036
1710846399557,1243496616082.5974
1710850169801,1242211523674.692
1710853382812,1250438775657.3352
1710857086252,1248261798172.0896
1710860629603,1235947752921.1094
1710864313717,1256668869160.852
1710867757628,1274787836453.9004
1710871775708,1275277844003.1858
1710875111072,1273341151957.0005
1710878967927,1267703907478.8328
1710882131915,1257449330424.7812
1710885934809,1256502479243.5032
1710889669998,1229435457587.5188
1710892853350,1223867418062.399
1710896913740,1243054857483.1328
1710900048968,1224434969164.0547
1710903794774,1233756505099.0747
1710907683399,1212980526545.1519
1710910822788,1206986337014.8188
1710914609395,1210256476198.8967
1710918251858,1213534989800.1516
1710922013364,1240374846972.772
1710925219271,1239628631992.7715
1710929353269,1242202841652.1343
1710932553319,1238212119620.4875
1710936319408,1240934949491.0635
1710939991423,1256641835836.449
1710943442786,1250101770556.8176
1710946857037,1259110440195.876
1710950849329,1250475244916.8755
1710954496775,1241173312120.8699
1710958154833,1258105187987.0667
1710961701497,1286606193251.0562
1710965064373,1292560392750.2693
1710968657343,1319360576626.7004
1710972254621,1329809942875.7183
1710976216758,1331161001410.2224
1710979755524,1334232955912.3333
1710983102447,1332765998061.0784
1710986817969,1332983326617.7693
1710990136351,1331236930019.2578
1710993882975,1314050921470.2722
1710997285891,1311522525665.965
1711001273892,1312354422131.254
1711004767299,1318380550128.8765
1711008341539,1317715632355.5337
1711011999708,1323143364629.4824
1711015320117,1314486552109.684
1711019541001,1315503740866.1577
1711022703025,1319697137491.932
1711026299077,1321830584604.5576
1711029891244,1310571196702.1846
1711033405525,1315481221398.1177
1711038097000,1303733903551.527
