epoch,price
1710381811532,72972.65052605205
1710385325492,73018.60285807312
1710388879344,73272.42972254046
1710392404672,72731.82069816755
1710396058282,73134.71637445455
1710399750882,73580.85602609815
1710403681158,73416.09966380143
1710406906142,73386.35672005931
1710410565443,73376.18197373186
1710414251542,72966.17825515631
1710417899225,72912.05906652527
1710421324448,72907.42267329218
1710425235091,71902.00011581155
1710428440867,71469.77998770635
1710432184501,70993.84713957483
1710435777590,71322.54913494151
1710439369932,71031.5317499128
1710443258721,69809.35031012403
1710446534004,69359.49810195036
1710450172411,70725.64361975809
1710453659520,70840.70603089685
1710457639407,71456.38950301314
1710460964785,71385.36632196435
1710464565014,71867.09224438932
1710468214861,71545.78892056522
1710471735449,68779.46744815247
1710475598608,67922.26211754541
1710479059789,67444.3427494583
1710482704797,67536.64289715007
1710486269619,68560.33779932123
1710490073799,68466.82440517964
1710493329817,67047.5397867456
1710497220663,67877.50859708426
1710500561535,67306.96851759979
1710504147011,67737.10352871276
1710507882394,67902.23047397175
1710511516515,68432.36982932733
1710515327027,68593.57064472653
1710518736180,68148.66770633298
1710522571355,67874.29187679682
1710525629934,68192.52823216586
1710529679829,70380.31298214062
1710533099836,68699.12702515475
1710536639369,67859.45627841212
1710540411742,68252.66362251953
1710544106051,68861.34404818142
1710547343350,69440.62221024453
1710551211698,69751.8160495129
1710554855140,69259.15745451006
1710558464163,69016.08184020499
1710562031215,69033.33066336311
1710565517154,68976.96143737857
1710568818851,68975.79911725668
1710572586011,69194.96136511411
1710576389259,69382.66216630788
1710579731905,68984.8394842364
1710583396171,68972.4023307828
1710586869493,68404.6538303519
1710590630735,68293.81593877551
1710594021449,67928.64758791047
1710597620290,67839.58824704275
1710601230751,67919.43036375273
1710605291564,68265.37917907925
1710608531320,68143.60834622484
1710612248968,67275.90800008274
1710615630768,66652.58943661622
1710619716796,66782.55917368534
1710623277969,67067.30497045004
1710626906256,65933.52686372845
1710630194011,66305.27460229075
1710634100519,66007.72518651065
1710637497598,65125.85067372418
1710640877778,66093.7118570354
1710644860428,66290.4479496283
1710648053619,66510.07119133035
1710651654399,66327.81820396414
1710655395039,66211.38797565344
1710659094636,64998.94046931005
1710662841321,65581.82101814223
1710666393727,66376.6166725055
1710669728325,66396.70906245727
1710673692887,67101.67527768899
1710677141556,67033.20891563102
1710680692249,66430.48019867114
1710684206773,67002.70928214384
1710687873513,67527.51467304611
1710691314240,67926.2282348236
1710694931988,67921.16882111841
1710698898230,68265.06294235944
1710702244239,68155.24240395275
1710705965621,68526.02541034468
1710709467423,68212.85471625575
1710713317124,68264.14013885496
1710716854367,68208.85415278868
1710720512832,68274.20303239339
1710724081020,66857.81812161983
1710727456641,67615.40027459318
1710731085341,67721.07556247014
1710734746687,67905.61505383212
1710738275243,68358.06355442286
1710741876853,68643.35824299837
1710745371976,68437.05625682755
1710748858454,68229.089871083
1710752698985,68049.068859338
1710756080444,67725.32444758777
1710759946403,67979.90508068174
1710763661615,68145.79947189869
1710767133437,68526.81494321358
1710770648098,67405.17020335695
1710774047501,66920.4633660893
1710777951877,67321.58240994561
1710781634488,66882.77742172776
1710785020118,67396.25827799448
1710788769252,67021.98991993096
1710792388682,67038.25498257075
1710795862873,67370.16941587218
1710799575321,67535.12705763559
1710803338607,67839.14452610933
1710806453816,67708.94360930806
1710810185863,67051.4602311967
1710813864851,65842.8801573583
1710817281313,65751.62776924972
1710821220724,65808.89923435738
1710824667960,65340.53231763715
1710828037379,65069.79242149465
1710831789698,64851.175831466564
1710835445115,64665.90970419674
1710839066951,63404.62402011625
1710842923767,63957.640846803915
1710846399557,63131.19232346666
1710850169801,63282.938631618774
1710853382812,63545.64986953504
1710857086252,63540.42874761364
1710860629603,62784.12398056628
1710864313717,63924.536208083475
1710867757628,64855.17554412205
1710871775708,64669.820672082315
1710875111072,64764.14517556257
1710878967927,64089.178638930985
1710882131915,63745.30067324905
1710885934809,63948.75166689292
1710889669998,62372.74716941677
1710892853350,62132.51737873437
1710896913740,62952.78375305392
1710900048968,62418.22308596746
1710903794774,62757.28788716081
1710907683399,61994.844181703214
1710910822788,61494.43884018424
1710914609395,61509.50848616046
1710918251858,61731.77705086996
1710922013364,62884.36559873798
1710925219271,62874.79366154685
1710929353269,63057.68108487799
1710932553319,62982.79036364029
1710936319408,63300.55236918849
1710939991423,63980.491782699864
1710943442786,63584.622230583074
1710946857037,64298.32801847863
1710950849329,63658.3063292719
1710954496775,62954.952770631666
1710958154833,64533.053787993405
1710961701497,65319.92288074699
1710965064373,65738.98112643794
1710968657343,67109.50104556921
1710972254621,67689.54455608714
1710976216758,67583.34048288445
1710979755524,67736.4259778639
1710983102447,67779.07402686452
1710983500000,67891.66406316141
